2025-12-31 13:30:44: Temp=nan°C, Hum=nan%
2025-12-31 13:53:20: Temp=18.5°C, Hum=40.0%
2025-12-31 14:53:20: Temp=18.5°C, Hum=40.0%
2025-12-31 14:53:20: Temp=18.5°C, Hum=40.0%
2025-12-31 14:53:42: Temp=1.6°C, Hum=0.0%
2025-12-31 14:54:28: Temp=1.7°C, Hum=0.6%
2025-12-31 14:55:28: Temp=19.7°C, Hum=40.7%
2025-12-31 14:55:29: Temp=19.7°C, Hum=40.7%
2025-12-31 14:56:28: Temp=19.7°C, Hum=40.7%
2025-12-31 14:56:29: Temp=19.7°C, Hum=40.7%
2025-12-31 14:57:28: Temp=19.7°C, Hum=40.8%
2025-12-31 14:57:29: Temp=19.7°C, Hum=40.8%
2025-12-31 14:58:28: Temp=19.7°C, Hum=40.7%
2025-12-31 14:58:29: Temp=19.7°C, Hum=40.7%
2025-12-31 14:59:28: Temp=19.7°C, Hum=40.7%
2025-12-31 14:59:29: Temp=19.7°C, Hum=40.8%
2025-12-31 15:00:28: Temp=19.7°C, Hum=40.8%
2025-12-31 15:00:29: Temp=19.7°C, Hum=40.8%
2025-12-31 15:01:28: Temp=19.7°C, Hum=40.8%
2025-12-31 15:01:29: Temp=19.7°C, Hum=40.8%
2025-12-31 15:02:28: Temp=19.7°C, Hum=40.9%
2025-12-31 15:02:29: Temp=19.7°C, Hum=41.0%
2025-12-31 15:03:28: Temp=19.7°C, Hum=41.2%
2025-12-31 15:03:29: Temp=19.7°C, Hum=41.2%
2025-12-31 15:04:28: Temp=19.7°C, Hum=41.2%
2025-12-31 15:04:29: Temp=19.7°C, Hum=41.2%
2025-12-31 15:05:28: Temp=19.6°C, Hum=41.2%
2025-12-31 15:05:29: Temp=19.7°C, Hum=41.2%
2025-12-31 15:06:28: Temp=19.7°C, Hum=41.2%
2025-12-31 15:06:30: Temp=19.7°C, Hum=41.1%
2025-12-31 15:07:28: Temp=19.7°C, Hum=41.0%
2025-12-31 15:07:30: Temp=19.7°C, Hum=40.9%
2025-12-31 15:08:28: Temp=19.6°C, Hum=40.9%
2025-12-31 15:08:30: Temp=19.7°C, Hum=41.0%
2025-12-31 15:09:29: Temp=19.7°C, Hum=40.9%
2025-12-31 15:09:30: Temp=19.6°C, Hum=40.9%
2025-12-31 15:10:29: Temp=19.6°C, Hum=40.9%
2025-12-31 15:10:30: Temp=19.6°C, Hum=40.8%
2025-12-31 15:11:29: Temp=19.6°C, Hum=40.8%
2025-12-31 15:11:30: Temp=19.6°C, Hum=40.8%
2025-12-31 15:12:29: Temp=19.7°C, Hum=40.8%
2025-12-31 15:12:30: Temp=19.7°C, Hum=40.9%
2025-12-31 15:13:29: Temp=19.7°C, Hum=40.9%
2025-12-31 15:13:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:14:29: Temp=19.7°C, Hum=41.1%
2025-12-31 15:14:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:15:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:15:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:16:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:16:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:17:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:17:30: Temp=19.7°C, Hum=41.1%
2025-12-31 15:18:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:18:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:19:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:19:30: Temp=19.6°C, Hum=40.9%
2025-12-31 15:20:29: Temp=19.6°C, Hum=40.9%
2025-12-31 15:20:30: Temp=19.6°C, Hum=40.8%
2025-12-31 15:21:29: Temp=19.6°C, Hum=40.8%
2025-12-31 15:21:30: Temp=19.6°C, Hum=40.9%
2025-12-31 15:22:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:22:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:23:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:23:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:24:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:24:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:25:29: Temp=19.6°C, Hum=41.2%
2025-12-31 15:25:30: Temp=19.6°C, Hum=41.2%
2025-12-31 15:26:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:26:31: Temp=19.6°C, Hum=41.1%
2025-12-31 15:27:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:27:31: Temp=19.6°C, Hum=41.1%
2025-12-31 15:28:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:28:31: Temp=19.6°C, Hum=41.0%
2025-12-31 15:29:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:29:31: Temp=19.6°C, Hum=40.9%
2025-12-31 15:30:29: Temp=19.6°C, Hum=40.9%
2025-12-31 15:30:31: Temp=19.6°C, Hum=41.0%
2025-12-31 15:31:29: Temp=19.6°C, Hum=41.2%
2025-12-31 15:31:31: Temp=19.6°C, Hum=41.2%
2025-12-31 15:32:29: Temp=19.6°C, Hum=41.1%
2025-12-31 15:32:31: Temp=19.6°C, Hum=41.0%
2025-12-31 15:33:29: Temp=19.6°C, Hum=41.0%
2025-12-31 15:33:31: Temp=19.6°C, Hum=41.0%
2025-12-31 15:34:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:34:31: Temp=19.6°C, Hum=41.2%
2025-12-31 15:35:30: Temp=19.6°C, Hum=41.2%
2025-12-31 15:35:31: Temp=19.6°C, Hum=41.3%
2025-12-31 15:36:30: Temp=19.6°C, Hum=41.2%
2025-12-31 15:36:31: Temp=19.6°C, Hum=41.3%
2025-12-31 15:37:30: Temp=19.6°C, Hum=41.2%
2025-12-31 15:37:31: Temp=19.6°C, Hum=41.2%
2025-12-31 15:38:30: Temp=19.6°C, Hum=41.3%
2025-12-31 15:38:31: Temp=19.6°C, Hum=41.3%
2025-12-31 15:39:30: Temp=19.6°C, Hum=41.3%
2025-12-31 15:39:31: Temp=19.6°C, Hum=41.2%
2025-12-31 15:40:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:40:31: Temp=19.6°C, Hum=41.0%
2025-12-31 15:41:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:41:31: Temp=19.6°C, Hum=41.0%
2025-12-31 15:42:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:42:31: Temp=19.6°C, Hum=40.9%
2025-12-31 15:43:30: Temp=19.6°C, Hum=40.9%
2025-12-31 15:43:31: Temp=19.6°C, Hum=40.9%
2025-12-31 15:44:30: Temp=19.6°C, Hum=40.8%
2025-12-31 15:44:32: Temp=19.6°C, Hum=40.8%
2025-12-31 15:45:30: Temp=19.6°C, Hum=40.8%
2025-12-31 15:45:32: Temp=19.6°C, Hum=40.7%
2025-12-31 15:46:30: Temp=19.6°C, Hum=40.6%
2025-12-31 15:46:32: Temp=19.6°C, Hum=40.6%
2025-12-31 15:47:30: Temp=19.6°C, Hum=40.6%
2025-12-31 15:47:32: Temp=19.6°C, Hum=40.6%
2025-12-31 15:48:30: Temp=19.6°C, Hum=40.6%
2025-12-31 15:48:32: Temp=19.6°C, Hum=40.6%
2025-12-31 15:49:30: Temp=19.6°C, Hum=40.5%
2025-12-31 15:49:32: Temp=19.6°C, Hum=40.5%
2025-12-31 15:50:30: Temp=19.6°C, Hum=40.4%
2025-12-31 15:50:32: Temp=19.6°C, Hum=40.4%
2025-12-31 15:51:30: Temp=19.7°C, Hum=40.4%
2025-12-31 15:51:32: Temp=19.6°C, Hum=40.5%
2025-12-31 15:52:30: Temp=19.6°C, Hum=40.6%
2025-12-31 15:52:32: Temp=19.6°C, Hum=40.8%
2025-12-31 15:53:30: Temp=19.6°C, Hum=41.0%
2025-12-31 15:53:32: Temp=19.6°C, Hum=41.1%
2025-12-31 15:54:30: Temp=19.6°C, Hum=41.1%
2025-12-31 15:54:32: Temp=19.6°C, Hum=41.1%
2025-12-31 15:55:31: Temp=19.6°C, Hum=40.9%
2025-12-31 15:55:32: Temp=19.6°C, Hum=40.8%
2025-12-31 15:56:31: Temp=19.6°C, Hum=40.7%
2025-12-31 15:56:32: Temp=19.6°C, Hum=40.7%
